                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.4522,                0.66978,                 1.0735,                0.82453,                0.79799,                 0.8668,                0.42781,                 1.7065,                0.69214,                  1.039,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.4397,                 0.6535,                 1.0675,                0.78299,                0.90566,                0.91291,                0.44096,                 1.6818,                0.66976,                 1.0355,               0.006667,               0.006667,               0.006667
                    103,                 1.4524,                0.66455,                 1.0689,                 0.8026,                0.84906,                0.89331,                0.43931,                 1.6781,                0.68149,                 1.0307,               0.006634,               0.006634,               0.006634
                    104,                 1.4482,                0.66891,                 1.0703,                0.78137,                0.86792,                0.86397,                0.42457,                 1.6965,                 0.7148,                 1.0347,               0.006601,               0.006601,               0.006601
                    105,                 1.4537,                0.66079,                 1.0672,                0.76198,                0.90566,                0.88428,                0.42876,                 1.6782,                 0.6754,                 1.0299,               0.006568,               0.006568,               0.006568
                    106,                  1.438,                 0.6584,                 1.0681,                0.82084,                0.83019,                0.86472,                0.40421,                 1.6904,                0.69819,                 1.0362,               0.006535,               0.006535,               0.006535
                    107,                 1.4535,                0.65991,                 1.0683,                0.75255,                0.88679,                0.87105,                0.43374,                 1.6724,                0.68186,                 1.0269,               0.006502,               0.006502,               0.006502
                    108,                 1.4433,                0.65797,                 1.0696,                0.75903,                0.86792,                 0.8689,                0.43278,                 1.6854,                0.68512,                  1.031,               0.006469,               0.006469,               0.006469
                    109,                 1.4333,                0.65303,                 1.0625,                0.77917,                0.93209,                0.90289,                0.42787,                 1.6921,                0.67778,                  1.035,               0.006436,               0.006436,               0.006436
                    110,                 1.4408,                0.64819,                 1.0633,                0.76809,                0.93745,                  0.896,                0.42188,                  1.695,                0.69112,                 1.0342,               0.006403,               0.006403,               0.006403
                    111,                 1.4554,                0.66218,                 1.0654,                0.75765,                0.88679,                0.86139,                0.43834,                 1.6555,                 0.6776,                 1.0249,                0.00637,                0.00637,                0.00637
                    112,                 1.4365,                0.64631,                 1.0678,                0.76037,                0.90566,                0.87089,                0.43062,                 1.6528,                0.68138,                 1.0277,               0.006337,               0.006337,               0.006337
                    113,                 1.4326,                0.64691,                  1.063,                0.75687,                0.90566,                 0.8654,                0.44106,                  1.665,                 0.6782,                 1.0326,               0.006304,               0.006304,               0.006304
